,container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country
1038,Author,['basics'],keO-0s0AAAAJ,AUTHOR_PROFILE_PAGE,K. Selcuk Candan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=keO-0s0AAAAJ&citpid=3,"Professor of Computer Science and Engineering, Arizona State University","['Data management', 'databases', 'multimedia retrieval']",@asu.edu,http://kscandan.site/,8264,856495938334247183,Arizona State University,USA
1039,Author,['basics'],iHevumsAAAAJ,AUTHOR_PROFILE_PAGE,Jeffrey Xu Yu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iHevumsAAAAJ&citpid=2,Chinese University of Hong Kong,"['Database', 'Data Mining']",@se.cuhk.edu.hk,,27352,3220904064098251966,Chinese University of Hong Kong,Hong Kong
1040,Author,['basics'],O3JRO9AAAAAJ,AUTHOR_PROFILE_PAGE,Haoran Li,,PhD in HKUST,"['Federated Learning', 'Privacy for Natural Language Processing']",@connect.ust.hk,https://hlibt.student.ust.hk/,151,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
1041,Author,['basics'],5zvbpooAAAAJ,AUTHOR_PROFILE_PAGE,Thomas Zimmermann,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5zvbpooAAAAJ&citpid=3,"Sr. Principal Researcher at Microsoft Research, Redmond","['Software Engineering', 'Empirical Software Engineering', 'Mining Software Repositories', 'Recommender Systems', 'Computer Games']",@microsoft.com,http://thomas-zimmermann.com/,26547,,,
1042,Author,['basics'],ueZsy3wAAAAJ,AUTHOR_PROFILE_PAGE,Francesco Gullo,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ueZsy3wAAAAJ&citpid=7,Senior Researcher @UniCredit,"['Artificial Intelligence', 'Data Science', 'Machine Learning', 'Algorithms']",@acm.org,https://fgullo.github.io/,2311,,,
1043,Author,['basics'],-B5JgjsAAAAJ,AUTHOR_PROFILE_PAGE,Xiaogang Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-B5JgjsAAAAJ&citpid=1,"Professor of Electronic Engineering, the Chinese University of Hong Kong","['Computer vision', 'pattern recognition', 'machine learning']",@ee.cuhk.edu.hk,http://www.ee.cuhk.edu.hk/~xgwang/,109798,3220904064098251966,Chinese University of Hong Kong,Hong Kong
1044,Author,['basics'],hxlxVEUAAAAJ,AUTHOR_PROFILE_PAGE,martin rinard,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hxlxVEUAAAAJ&citpid=4,MIT,"['programming languages', 'software engineering']",@lcs.mit.edu,http://people.csail.mit.edu/rinard/,22593,16345133980181568013,Massachusetts Institute of Technology,USA
1045,Author,['basics'],9nHXbTEAAAAJ,AUTHOR_PROFILE_PAGE,Jun Xu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9nHXbTEAAAAJ&citpid=1,Assistant Professor at The University of Utah,"['System security', 'software security']",@cs.utah.edu,https://sites.google.com/view/junxzm/home,1269,10124793133719145342,University of Utah,USA
1046,Author,['basics'],pizBYKkAAAAJ,AUTHOR_PROFILE_PAGE,Kun Tan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pizBYKkAAAAJ&citpid=2,"HUAWEI Technologies, Co. LTD","['computer networking', 'wireless networking', 'communication']",@huawei.com,,9837,1953016339157211197,Huawei Technologies,China
1047,Author,['basics'],Buq5nLsAAAAJ,AUTHOR_PROFILE_PAGE,Ou Runmin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Buq5nLsAAAAJ&citpid=3,Wuhan University,"['Mobile sensing', 'Internet of Things', 'Wearable devices']",@whu.edu.cn,,46,5183021838615386716,Wuhan University,China
