container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country,Lat,Long,,,,,list,,
Author,['basics'],SDY9FwUAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Suman Jana,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=SDY9FwUAAAAJ&citpid=15,"Associate Professor of Computer Science, Columbia University","['Computer Security', 'Program analysis', 'Machine Learning']",@cs.columbia.edu,http://sumanj.info/,11072,8.87E+18,Columbia University,USA,37.09024,-95.712891,Israel,,,,,,-95.712891
Author,['basics'],i_zA1VsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dan Pei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=i_zA1VsAAAAJ&citpid=6,"Associate Professor of Computer Science,  Tsinghua University","['AIOps', 'Large Language Models for Operations', 'Foundation Models for Operations']",@tsinghua.edu.cn,http://netman.aiops.org/~peidan,9471,1.54E+19,Tsinghua University,China,35.86166,104.195396,Denmark,,,,,,104.195396
Author,['basics'],2NehWz0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Haojie Pan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2NehWz0AAAAJ&citpid=2,Hong Kong University of Science and Technology,"['Text Mining', 'Natural Language Processing', 'Knowledge Graph']",@cse.ust.hk,http://scarletpan.github.io/about/,418,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,New Zealand,,,,,,114.109497
Author,['basics'],kAq_-McAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Vincent W. Zheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kAq_-McAAAAJ&citpid=3,"ADSC, Singapore","['transfer learning', 'graph learning']",@adsc.com.sg,http://vincentz.cc/,8705,1.31E+19,"Advanced Digital Sciences Center, Singapore",Singapore,1.352083,103.819839,Turkey,,,,,,103.819839
Author,['basics'],2eQFlqsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yingcai Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2eQFlqsAAAAJ&citpid=3,"Professor at the State Key Lab of CAD&CG, Zhejiang University","['Visual Analytics', 'Sports Analytics', 'Urban Computing']",@zju.edu.cn,http://www.ycwu.org/,5785,1.12E+18,Zhejiang University,China,35.86166,104.195396,Australia,,,,,,104.195396
Author,['basics'],_nyTrU0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Neal E. Young,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_nyTrU0AAAAJ&citpid=11,"University of California, Riverside","['approximation algorithms', 'online algorithms', 'algorithms', 'combinatorial optimization', 'theory of computation']",@ucr.edu,https://www.cs.ucr.edu/~neal/,6320,9.46E+18,"University of California, Riverside",USA,37.09024,-95.712891,India,,,,,,-95.712891
Author,['basics'],KQ9HkfcAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Haoyue Bai,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KQ9HkfcAAAAJ&citpid=17,University of Wisconsin-Madison,"['machine learning', 'computer vision']",@cs.wisc.edu,https://haoyuebaizju.github.io/,613,9.66E+18,University of Wisconsin-Madison,USA,37.09024,-95.712891,Finland,,,,,,-95.712891
Author,['basics'],wn1tJO8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Claude Carlet,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wn1tJO8AAAAJ&citpid=2,"Professor Emeritus, University of Paris 8; also member of the University of Bergen, Norway","['Boolean functions', 'symmetric cryptography', 'error correcting codes', 'discrete mathematics', 'cryptography']",@univ-paris8.fr,http://www.math.univ-paris13.fr/~carlet/,15402,1.75E+17,Université Paris 8,France,46.227638,2.213749,Norway,,,,,,2.213749
Author,['basics'],fcoo_jsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Haohong Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fcoo_jsAAAAJ&citpid=1,"General Manager, TCL Research America",['Multimedia & Communications'],@tcl.com,,12083,,,,#N/A,#N/A,Germany,,,,,,#N/A
Author,['basics'],u_MzXeMAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Shiqi Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u_MzXeMAAAAJ&citpid=3,"Applied Scientist, Amazon AWS AI Lab","['Machine Learning', 'Adversarial Robustness', 'Large Language Model', 'Trustworthy AI', 'Security of Machine']",@cs.columbia.edu,https://shiqi-wang.github.io/,2179,,,,#N/A,#N/A,Japan,,,,,,#N/A
